host,serverIP,port,duration,size,proto
h2,10.0.0.1,51513,18876,512,TCP 
h3,10.0.0.1,44473,5253,512,TCP Telnet
h4,10.0.0.1,65296,11744,512,TCP 
h5,10.0.0.1,26976,2368,512,TCP 
h6,10.0.0.1,60638,10010,512,TCP 
h7,10.0.0.1,61268,1823,512,TCP 
h8,10.0.0.1,25463,9432,512,TCP Telnet
h9,10.0.0.1,18786,10078,512,TCP 
h10,10.0.0.1,25692,12407,512,TCP 
h11,10.0.0.1,16612,14731,512,TCP Telnet
h12,10.0.0.1,27367,1133,512,TCP Telnet
h13,10.0.0.1,37637,18970,512,TCP Telnet
h14,10.0.0.1,43383,12964,512,TCP Telnet
h15,10.0.0.1,20802,6095,512,TCP 
h16,10.0.0.1,14541,1945,512,TCP 
h17,10.0.0.1,44354,16874,512,TCP 
h18,10.0.0.1,58441,5932,512,TCP 
h19,10.0.0.1,59352,3733,512,TCP Telnet
h20,10.0.0.1,42270,13571,512,TCP 
