host,IP
h1,10.0.0.1/8
h2,10.194.151.111/8
h3,10.67.213.74/8
h4,10.229.155.1/8
h5,10.199.60.108/8
h6,10.30.42.220/8
h7,10.142.32.153/8
h8,10.120.17.65/8
h9,10.76.56.150/8
h10,10.153.235.118/8
h11,10.100.111.244/8
h12,10.63.227.21/8
h13,10.148.192.191/8
h14,10.170.27.220/8
h15,10.182.177.253/8
h16,10.201.182.195/8
h17,10.211.185.22/8
h18,10.170.194.89/8
h19,10.86.35.17/8
h20,10.168.163.183/8
h21,10.41.161.86/8
h22,10.184.71.86/8
h23,10.163.116.67/8
h24,10.188.163.89/8
h25,10.215.64.199/8
h26,10.30.42.210/8
h27,10.134.119.98/8
h28,10.216.59.177/8
h29,10.96.173.85/8
h30,10.164.207.164/8
h31,10.128.138.246/8
h32,10.82.201.156/8
h33,10.188.177.144/8
h34,10.49.114.233/8
h35,10.183.78.45/8
h36,10.23.146.243/8
h37,10.6.21.251/8
h38,10.113.182.95/8
h39,10.112.16.154/8
h40,10.3.164.28/8
h41,10.52.34.0/8
h42,10.93.45.243/8
h43,10.67.4.119/8
h44,10.113.55.174/8
h45,10.244.37.195/8
h46,10.231.59.171/8
h47,10.22.164.208/8
h48,10.238.151.150/8
h49,10.138.19.160/8
h50,10.94.24.30/8
h51,10.203.69.113/8
h52,10.77.147.147/8
h53,10.185.67.39/8
h54,10.143.202.105/8
h55,10.18.184.171/8
h56,10.136.211.120/8
h57,10.75.128.210/8
h58,10.128.190.111/8
h59,10.105.22.106/8
h60,10.168.249.101/8
h61,10.5.160.190/8
h62,10.74.52.165/8
h63,10.121.22.193/8
h64,10.30.164.187/8
h65,10.246.51.193/8
h66,10.73.38.90/8
h67,10.99.242.190/8
h68,10.243.175.107/8
h69,10.0.1.40/8
h70,10.60.214.144/8
h71,10.14.114.110/8
h72,10.70.183.160/8
h73,10.115.31.133/8
h74,10.5.115.32/8
h75,10.153.221.115/8
h76,10.54.232.137/8
h77,10.21.242.127/8
h78,10.242.173.236/8
h79,10.158.130.11/8
h80,10.91.142.61/8
